dimension,average_objective,time
4,38.61,6.95392984800128
5,76.45,7.513768671997241
6,139.09,8.089521506000892
7,175.7,9.115003425002214
8,278.29,9.821533034002641
9,389.98,10.512276138004381
10,551.04,11.044247678997635
11,751.91,11.625418021001678
12,894.95,13.248647559994424
13,1168.22,13.736656217995915
14,1417.67,14.235119479999412
15,1895.47,14.827188178001961
16,2209.48,15.462180032998731
17,2764.09,16.111002119992918
18,3368.05,16.925965461996384
19,3565.38,18.6624327669997
20,4512.67,19.469381861999864
21,5226.13,20.37173012099811
22,6203.8,21.077001146994007
23,6729.35,22.0355954619954
24,8135.53,22.483873276003578
25,9618.14,23.187170705001336
