dimension,average_objective,time
4,39.2,0.0024185460060834885
5,78.58,0.0020196569967083633
6,143.43,0.002428246007184498
7,181.42,0.0028611759989871643
8,287.79,0.0032064350016298704
9,407.89,0.003780694998567924
10,575.75,0.004213313994114287
11,786.19,0.004677622993767727
12,938.16,0.005079512993688695
13,1235.43,0.005541621001611929
14,1491.52,0.0059905210000579245
15,1995.94,0.006170351000037044
16,2360.32,0.007034720001684036
17,2972.9,0.007684800002607517
18,3608.5,0.007947488003992476
19,3810.95,0.008452297995972913
20,4807.7,0.008937186001276132
21,5534.03,0.009472637000726536
22,6584.62,0.010057685001811478
23,7252.74,0.010490614004083909
24,8756.89,0.011590012996748555
25,10378.37,0.011905183004273567
