dimension,average_objective,time
4,38.65,0.003419094005948864
5,76.59,0.00526738099870272
6,139.66,0.007811856994521804
7,175.96,0.01302702799148392
8,278.93,0.019870677002472803
9,391.06,0.02931451000040397
10,553.01,0.041725071001565084
11,755.87,0.0539864390011644
12,897.38,0.08455497800605372
13,1172.08,0.11422848899383098
14,1421.42,0.14441885700216517
15,1902.92,0.1826881430024514
16,2221.18,0.23351029799960088
17,2773.36,0.28754173700872343
18,3385.55,0.3714195149950683
19,3579.7,0.4587971589935478
20,4530.83,0.5781382790009957
21,5239.06,0.6647416129999328
22,6223.54,0.8600696239882382
23,6748.81,1.0144586749956943
24,8164.74,1.21156190399779
25,9651.18,1.4341046099871164
