dimension,average_objective,time
4,38.61,9.085298347999924
5,76.45,10.790661871003977
6,139.08,12.979296112003794
7,175.68,17.787725919995864
8,278.29,21.474433609997504
9,389.93,26.274481189000653
10,550.87,32.01181536499644
11,751.73,38.74194830199849
12,894.71,50.30293365399848
13,1168.03,60.99482060399896
14,1416.7,73.24573242599581
15,1893.97,86.65392086499924
16,2207.68,103.37391349900281
17,2760.41,120.42127060399798
18,3366.46,142.00863249100075
19,3561.77,168.1432344329951
20,4507.69,195.37160564200167
21,5216.83,224.2235950749964
22,6193.99,256.60151494800084
23,6710.98,289.0847689529983
24,8119.01,327.96519270400313
25,9601.85,369.0302934700012
