dimension,average_objective,time
4,39.57,0.0016755279939388856
5,78.47,0.001928837999003008
6,143.86,0.0023203270029625855
7,181.12,0.0027150659952894785
8,290.4,0.0030543760003638454
9,405.72,0.0035658540000440553
10,583.18,0.003933124004106503
11,788.28,0.0043524140055524185
12,942.89,0.004882592002104502
13,1236.5,0.005212543001107406
14,1499.28,0.005655421999108512
15,2013.44,0.006207801001437474
16,2361.94,0.006715269999403972
17,2937.84,0.007055199996102601
18,3601.14,0.007634247995156329
19,3802.89,0.008247528996434994
20,4808.36,0.023583925001730677
21,5573.86,0.009513915996649303
22,6609.9,0.009761845001776237
23,7236.97,0.010266016004607081
24,8736.58,0.010645623995515052
25,10368.89,0.011372004002623726
