dimension,average_objective,time
4,38.61,1.698841324003297
5,76.45,1.827025129008689
6,139.08,1.936007845986751
7,175.68,2.1051433219981845
8,278.5,2.225220549997175
9,390.28,2.286304626992205
10,551.84,2.3560832910006866
11,753.16,2.4524662390031153
12,897.46,2.6566329449997284
13,1171.47,2.7415724430029513
14,1422.2,2.86725178299821
15,1900.57,2.9892698180046864
16,2217.19,3.094766050009639
17,2771.39,3.2240821040031733
18,3379.44,3.3258943920081947
19,3577.8,3.50641984899994
20,4528.62,3.600607361004222
21,5242.26,3.6797522289998597
22,6222.59,3.8103592789993854
23,6742.63,3.856885331988451
24,8153.11,4.046965651999926
25,9645.87,4.124339923000662
