dimension,average_objective,time
4,38.61,0.9161049210088095
5,76.45,1.6604087220039219
6,139.08,2.7656661859946325
7,175.68,5.092392557999119
8,278.29,7.57701227600046
9,389.93,10.95670363199315
10,550.87,15.095868875010638
11,751.73,20.21741969200957
12,894.71,28.498917221004376
13,1168.03,37.632132301994716
14,1416.7,47.25256986300519
15,1893.97,59.29112567398988
16,2207.68,73.36866256401117
17,2760.36,88.68896536699322
18,3366.46,109.8720257189998
19,3561.78,131.38272956300352
20,4507.69,157.80350851999538
21,5216.84,184.27134036200005
22,6194.09,217.18461510298948
23,6711.07,257.88272979299654
24,8119.08,302.57591225499345
25,9601.93,335.0894652989955
